,State,Court,Number of Judgeships,Number of Districts/Circuits,Geographic Basis for Selection,Method of Selection (full term),Length of Term,Method of Retention,Length of Subsequent Terms,Method of Filling Interim Vacancies,When Interim Judges Stand for Election/Appointment,Selection of Chief Judge/Justice,Term of Office for Chief Judge/Justice,Qualifications,Source
134,Texas,Court of Appeals:,80,14,district,partisan election,6 yrs,reelection,6 yrs,gubernatorial appointment with senate approval,next general election; hold office for remainder of unexpired term,popular election,6 yrs,U.S. citizen; state resident; licensed in state; between 35 yrs and 74 yrs of age; 10 yrs practicing lawyer and/or judge*,"['Selection and retention methods and term lengths are prescribed by Article 5 of the Texas Constitution.', '*In 2007, Texas voters approved a constitutional amendment allowing judges who reached mandatory retirement age to finish their term of office.']"
135,Texas,District Court:,433,432,district,partisan election,4 yrs,reelection,4 yrs,gubernatorial appointment with senate approval,next general election; hold office for remainder of unexpired term,--,--,U.S. citizen; state resident; licensed in state; between 25 yrs and 74 yrs of age; 4 yrs practicing lawyer and/or state judge; resident of judicial district 2 yrs*,"['Selection and retention methods and term lengths are prescribed by Article 5 of the Texas Constitution.', '*In 2007, Texas voters approved a constitutional amendment allowing judges who reached mandatory retirement age to finish their term of office.']"
136,Utah,Supreme Court:,5,--,statewide,gubernatorial appointment from nominating commission with senate confirmation,at least 3 yrs,retention election,10 yrs,gubernatorial appointment from nominating commission with senate confirmation,first general election more than 3 yrs after appointment,peer vote,4 yrs,U.S. citizen; state resident 5 yrs; 30 yrs of age; admitted to practice law in state; mandatory retirement at 75,[]
137,Utah,Court of Appeals:,7,--,statewide,gubernatorial appointment from nominating commission with senate confirmation,at least 3 yrs,retention election,6 yrs,gubernatorial appointment from nominating commission with senate confirmation,first general election more than 3 yrs after appointment,peer vote,2 yrs,U.S. citizen; state resident 3 yrs; 25 yrs of age; admitted to practice law in state; mandatory retirement at 75,[]
138,Utah,District Court:,70,8,district,gubernatorial appointment from nominating commission with senate confirmation,at least 3 yrs,retention election,6 yrs,gubernatorial appointment from nominating commission with senate confirmation,first general election more than 3 yrs after appointment,peer vote,2 yrs,U.S. citizen; state resident 3 yrs; 25 yrs of age; admitted to practice law in state; mandatory retirement at 75,[]
139,Vermont,Supreme Court:,5,--,statewide,gubernatorial appointment from nominating commission with senate confirmation,6 yrs,vote of general assembly,6 yrs,gubernatorial appointment from nominating commission with senate confirmation,expiration of unexpired term,gubernatorial appointment from nominating commission with senate confirmation,6 yrs,attorney who has practiced law or served as judge in state for more than 5 of the last 10 yrs; mandatory retirement at 70,"['Selection and retention methods and term lengths are prescribed by Chapter 2, Sections 32, 33, and 34 of the Vermont Constitution.', 'Each county is also served by two assistant judges, who are chosen in partisan elections and serve four- year terms. Assistant judges have limited power and are not required to be attorneys.', '*Superior Court and District Court judges also serve as Family Court judges. ']"
140,Vermont,Superior Court:,12*,14,statewide,gubernatorial appointment from nominating commission with senate confirmation,6 yrs,vote of general assembly,6 yrs,gubernatorial appointment from nominating commission with senate confirmation,expiration of unexpired term,administrative judge for trial courts appointed by supreme court,appointed to 4 yr term but may be removed by supreme court,attorney who has practiced law or served as judge in state for more than 5 of the last 10 yrs; mandatory retirement at 70,"['Selection and retention methods and term lengths are prescribed by Chapter 2, Sections 32, 33, and 34 of the Vermont Constitution.', 'Each county is also served by two assistant judges, who are chosen in partisan elections and serve four- year terms. Assistant judges have limited power and are not required to be attorneys.', '*Superior Court and District Court judges also serve as Family Court judges. ']"
141,Vermont,District Court:,17*,14,statewide,gubernatorial appointment from nominating commission with senate confirmation,6 yrs,vote of general assembly,6 yrs,gubernatorial appointment from nominating commission with senate confirmation,expiration of unexpired term,administrative judge for trial courts appointed by supreme court,appointed to 4 yr term but may be removed by supreme court,attorney who has practiced law or served as judge in state for more than 5 of last 10 yrs; mandatory retirment at 70,"['Selection and retention methods and term lengths are prescribed by Chapter 2, Sections 32, 33, and 34 of the Vermont Constitution.', 'Each county is also served by two assistant judges, who are chosen in partisan elections and serve four- year terms. Assistant judges have limited power and are not required to be attorneys.', '*Superior Court and District Court judges also serve as Family Court judges. ']"
142,Virginia,Supreme Court:,7,--,statewide,legislative election,12 yrs,reelection by legislature*,12 yrs,legislative election**,**,peer vote,4 yrs,state resident; state bar member 5 yrs; maximum age of 70,"['Selection and retention methods and term lengths are prescribed by Article VI, Section7 of the Virginia Constitution.', '*The courts of justice committees of the house of delegates and the senate interview candidates who seek reelection. Then the full house and senate vote. ', '**When the general assembly is in session, vacancies are filled through legislative election. When the legislature is not in session, the governor fills vacancies through appointment. Appointees must then be elected at the next legislative session. ']"
143,Virginia,Court of Appeals:,11,--,statewide,legislative election,8 yrs,reelection by legislature*,8 yrs,legislative election**,**,peer vote,4 yrs,state resident; state bar member 5 yrs; maximum age of 70,"['Selection and retention methods and term lengths are prescribed by Article VI, Section7 of the Virginia Constitution.', '*The courts of justice committees of the house of delegates and the senate interview candidates who seek reelection. Then the full house and senate vote. ', '**When the general assembly is in session, vacancies are filled through legislative election. When the legislature is not in session, the governor fills vacancies through appointment. Appointees must then be elected at the next legislative session. ']"
144,Virginia,Circuit Court:,157,31,circuit,legislative election,8 yrs,reelection by legislature*,8 yrs,legislative election**,**,peer vote,2 yrs,state and circuit resident; state bar member 5 yrs; maximum age of 70,"['Selection and retention methods and term lengths are prescribed by Article VI, Section7 of the Virginia Constitution.', '*The courts of justice committees of the house of delegates and the senate interview candidates who seek reelection. Then the full house and senate vote. ', '**When the general assembly is in session, vacancies are filled through legislative election. When the legislature is not in session, the governor fills vacancies through appointment. Appointees must then be elected at the next legislative session. ']"
145,Washington,Supreme Court:,9,-,statewide*,nonpartisan election**,6 yrs,reelection,6 yrs,gubernatorial appointment,next general election; successor holds office for remainder of unexpired term,peer vote,4 yrs,licensed to practice in state; retirement age is 75,"[' Selection and retention methods and term lengths are prescribed by Article IV of the Washington Constitution andChapter 2.06 of the Revised Code of Washington. ', ' *Currently, the supreme court has one justice from eastern Washington (Debra Stephens), while six of the justices are from the Seattle-Tacoma area. Various proposals have been made in the legislature for geographically based election schemes.  ', ' **Judicial candidates run in a primary election. If no candidate receives a majority of the vote, the names of the top two vote getters are placed on the general election ballot.  ', ' ***Each superior court district may establish local rules for the appointment and term of the chief judge. However, the chief judge must be selected by a vote of his/her peers and the term must be at least one year.  ']"
146,Washington,Court of Appeals:,22,9,district,nonpartisan election**,6 yrs,reelection,6 yrs,gubernatorial appointment,next general election; successor holds office for remainder of unexpired term,peer vote,1 yr,5 yrs practice in state; resident of district at least 1 yr,"[' Selection and retention methods and term lengths are prescribed by Article IV of the Washington Constitution andChapter 2.06 of the Revised Code of Washington. ', ' *Currently, the supreme court has one justice from eastern Washington (Debra Stephens), while six of the justices are from the Seattle-Tacoma area. Various proposals have been made in the legislature for geographically based election schemes.  ', ' **Judicial candidates run in a primary election. If no candidate receives a majority of the vote, the names of the top two vote getters are placed on the general election ballot.  ', ' ***Each superior court district may establish local rules for the appointment and term of the chief judge. However, the chief judge must be selected by a vote of his/her peers and the term must be at least one year.  ']"
147,Washington,Superior Court:,186,30,county,nonpartisan election**,4 yrs,reelection,4 yrs,gubernatorial appointment,next general election; successor holds office for remainder of unexpired term,peer vote***,at least 1 yr***,licensed to practice in state; retirement age is 75,"[' Selection and retention methods and term lengths are prescribed by Article IV of the Washington Constitution andChapter 2.06 of the Revised Code of Washington. ', ' *Currently, the supreme court has one justice from eastern Washington (Debra Stephens), while six of the justices are from the Seattle-Tacoma area. Various proposals have been made in the legislature for geographically based election schemes.  ', ' **Judicial candidates run in a primary election. If no candidate receives a majority of the vote, the names of the top two vote getters are placed on the general election ballot.  ', ' ***Each superior court district may establish local rules for the appointment and term of the chief judge. However, the chief judge must be selected by a vote of his/her peers and the term must be at least one year.  ']"
148,West Virginia,Supreme Court of Appeals:,5,--,statewide,nonpartisan election,12 yrs,reelection,nonpartisan election,gubernatorial appointment from nominating commission,next general election; hold office for remainder of unexpired term,peer vote,1 yr,state citizen 5 yrs; minimum age of 30; 10 yrs practice of law,[]
149,West Virginia,Circuit Court:,66,31,circuit,nonpartisan election,8 yrs,reelection,nonpartisan election,gubernatorial appointment from nominating commission,next general election; hold office for remainder of unexpired term,peer vote,varies by circuit,state citizen 5 yrs; circuit resident; minimum age of 30; 5 yrs practice of law,[]
150,Wisconsin,Supreme Court:,7,--,statewide,nonpartisan election*,10 yrs,reelection,10 yrs,gubernatorial appointment**,"next spring in which no other justice is to be elected (if the vacancy occurs between Dec. 1 and the spring election, appointees stand for election in the next spring election)***",Court selection,2 years,qualified elector of the state; licensed to practice law in state 5 yrs****,"['Selection and retention methods and term lengths are prescribed by Article VII of the Wisconsin Constitution. ', '*If there are more than two candidates for a judicial position, a nonpartisan primary election is held. The top two vote getters in the primary compete in the general election. ', ""**Governor Walker uses an advisory council on judicial selection to screen applicants for interim judicial vacancies and recommend three to five qualified candidates. The governor is not bound by the council's recommendations. "", '***If the vacancy occurs between December 1 and the spring election, appointees stand for election in the next spring election. ', '****The Wisconsin Constitution authorizes the legislature to impose a mandatory retirement age of no less than 70. To date it has not been enacted by statute. ']"
151,Wisconsin,Court of Appeals:,16,4,district,nonpartisan election*,6 yrs,reelection,6 yrs,gubernatorial appointment**,"next spring election in which no other judge from that district is to be elected (if the vacancy occurs between Dec. 1 and the spring election, appointees stand for election in the next spring)***",supreme court appoints,3 yrs,qualified elector of the state; licensed to practice law in state 5 yrs****,"['Selection and retention methods and term lengths are prescribed by Article VII of the Wisconsin Constitution. ', '*If there are more than two candidates for a judicial position, a nonpartisan primary election is held. The top two vote getters in the primary compete in the general election. ', ""**Governor Walker uses an advisory council on judicial selection to screen applicants for interim judicial vacancies and recommend three to five qualified candidates. The governor is not bound by the council's recommendations. "", '***If the vacancy occurs between December 1 and the spring election, appointees stand for election in the next spring election. ', '****The Wisconsin Constitution authorizes the legislature to impose a mandatory retirement age of no less than 70. To date it has not been enacted by statute. ']"
152,Wisconsin,Circuit Court:,241,69,circuit,nonpartisan election*,6 yrs,reelection,6 yrs,gubernatorial appointment**,"next spring election (if the vacancy occurs between Dec. 1 and the spring election, appointees stand for election in the next spring election)***",supreme court appoints,2 yrs,qualified elector of circuit; licensed to practice law in state 5 yrs****,"['Selection and retention methods and term lengths are prescribed by Article VII of the Wisconsin Constitution. ', '*If there are more than two candidates for a judicial position, a nonpartisan primary election is held. The top two vote getters in the primary compete in the general election. ', ""**Governor Walker uses an advisory council on judicial selection to screen applicants for interim judicial vacancies and recommend three to five qualified candidates. The governor is not bound by the council's recommendations. "", '***If the vacancy occurs between December 1 and the spring election, appointees stand for election in the next spring election. ', '****The Wisconsin Constitution authorizes the legislature to impose a mandatory retirement age of no less than 70. To date it has not been enacted by statute. ']"
153,Wyoming,Supreme Court:,5,--,statewide,gubernatorial appointment from nominating commission,at least one year,retention election,8 yrs,gubernatorial appointment from nominating commission,"next general election 1 yr after appointment; if retained, serve remainder of unexpired term",peer vote,4 yrs,U.S. citizen; state resident 3 yrs; 9 yrs legal experience; minimum age of 30; mandatory retirement at 70,[]
154,Wyoming,District Court:,22,9,district,gubernatorial appointment from nominating commission,at least 1 yr,retention election,6 yrs,gubernatorial appointment from nominating commission,"next general election 1 yr after appointment; if retained, serve remainder of unexpired term",--,--,U.S. citizen; state resident 2 yrs; minimum age of 28; mandatory retirement at 70,[]
